1 2.47267
2 2.36491
3 2.27779
4 2.17033
5 2.07644
6 1.93819
7 1.81971
8 1.74797
9 1.59644
10 1.49962
11 1.43592
12 1.35405
13 1.23064
14 1.17518
15 1.08692
16 1.0315
17 0.986068
18 0.92402
19 0.876725
20 0.830812
21 0.789747
22 0.754623
23 0.727139
24 0.709469
25 0.670306
26 0.644312
27 0.619629
28 0.599371
29 0.581739
30 0.567386
31 0.555244
32 0.534622
33 0.520398
34 0.508419
35 0.498729
36 0.490877
37 0.486013
38 0.468685
39 0.461184
40 0.453653
41 0.446396
42 0.440068
43 0.434145
44 0.429924
45 0.423375
46 0.418633
47 0.414701
48 0.410394
49 0.406343
50 0.403716
